SM,ST7in1,pH,N,P,K,EC,STDS18B20,SMCap,label
44.22851458602314,16.16950819594401,6.382737105875694,48.30017093456046,69.68362841198883,36.681115659688615,0.45838245891733503,16.47062892512072,40.17157574836005,kidneybeans
48.29878082489798,22.60640092112397,6.117545985510039,26.55344790740243,69.93530130659654,28.14847981687593,0.536671714268398,23.009621026268206,48.24215415359345,kidneybeans
40.105283712594144,18.567191557325188,6.297103287612274,31.94598735912062,71.18834631070531,15.009000640893152,1.027165969770026,18.019794983916235,42.12633175324757,kidneybeans
30.640628688134328,20.294104327177223,5.981365720476322,44.326598437473514,66.54652294424208,44.99598276765405,0.8573187094587854,21.08085178434229,34.156850520563005,kidneybeans
79.02974314519463,25.59983194070822,6.66637719145884,115.9333406523297,32.75308238352173,143.85369657355747,2.226734370325049,25.545770497895255,76.37387811720775,banana
35.42306080703069,25.29055478659606,5.390721249028804,47.07668573143699,64.77856190333985,36.73002353638618,0.2785268941863033,25.509789868228918,37.90733804428585,kidneybeans
38.22148187890927,24.061331790296244,6.167943662915776,34.842662828039956,66.8277846962794,27.982998968476167,0.9563480456095635,24.265192095578755,34.67328848434067,kidneybeans
36.759177886410306,25.53399453138758,6.586051088838353,41.37903182891298,54.56055603328579,47.418958041841826,0.8093952392598996,25.478909955075355,35.4623416364735,kidneybeans
63.82624560584142,21.122561052802432,6.901445468502786,79.7234009137442,60.27604361401174,58.45623501013935,1.2231815513059883,20.649859003920582,61.925865612089396,cabbage
50.508110779601566,25.099091515042485,6.333526655642211,112.40905281563602,45.61704634050368,57.487577724105066,0.6586949211742879,25.19866507920115,48.38099132073213,maize
56.30405598116591,18.623042178268413,7.188759404442667,70.24707436378183,40.66329215582098,56.647163448888776,1.230595580901204,19.37645043040603,58.51096239059093,cabbage
44.58197882930773,20.0698993608669,6.86766513500426,90.55651100458859,58.19013197741396,47.92933823497292,1.1073558938962433,20.056109414853044,46.30303824523062,maize
19.994335885826793,22.497331096024457,6.144717840419503,19.97777345384106,67.35365392687744,34.94517244158725,0.5882725464092607,22.36867175656767,22.96537886311539,kidneybeans
57.69108096984405,19.634178419624586,6.510768488442634,46.941683119661626,56.587202870170906,94.86847017256812,1.5755888678189987,19.166749819681844,57.04330692040287,cabbage
58.45978744381394,18.18737701409899,6.4764407587535615,84.10477154966664,55.9321938070411,79.25081088982307,1.4442456826696577,18.72714510089246,57.714294043198294,cabbage
48.31893176118575,20.869839359039894,6.705325291662152,49.85800060900539,70.38773688817885,78.88131516294051,1.3926255534639487,20.524771231557068,47.78122781849841,cabbage
76.6467317181719,29.296512849031977,6.551352015576768,103.003308390091,74.17984054020722,169.3461037298826,1.6125324491262572,29.859892386730518,74.19812489808739,banana
56.97329572380878,19.153360902006963,6.5698499077274874,72.2919256421666,65.20953733391063,56.536284017449645,1.003744898683282,19.782632513556283,59.068997932904765,cabbage
56.89751451700582,18.78650231470487,7.054931622564421,60.58235554977372,40.46924634770022,46.24803826194149,1.2631741221944024,18.804725443150307,56.157156495765676,cabbage
66.1072214053319,27.938721319241548,6.3529522930068,88.09359070044863,63.512802990008524,153.71893988490223,1.409907522529106,29.148233900290506,61.67666117412496,banana
36.26647735199968,21.062611745491655,6.3568274710704635,39.76793969915437,49.93872333385547,35.2829496213723,0.768340165310055,20.679834005896012,35.14577436715528,kidneybeans
37.77649940544305,21.77966536566587,6.692532763710019,87.00915884490482,44.1514946833799,46.81314217861419,1.0431451468390291,21.913682312680837,37.666295207358466,maize
66.33094554313789,25.63381639682965,5.896746536292469,108.71026613169487,38.101004545513305,121.19330069335736,1.192080463765442,25.39786386420813,67.79622467606887,banana
43.320976743878525,19.126838779867263,5.940458283104444,29.34951344341087,64.60354188337429,33.365016668952656,0.6712488772335387,19.27727692688886,46.61164208027445,kidneybeans
55.32722033884811,24.784770528643882,6.395223622871646,119.10373917297494,53.86759054404739,54.62960573249448,0.9547599528671293,25.10092791943035,55.655861657611936,maize
42.76682847945763,23.57398104708949,6.455341679716788,101.37566670770511,37.074741695420855,36.90513681107234,1.3286560134967118,23.156403418502034,42.18707724850789,maize
58.39382638228852,26.11645996460851,6.197861389425523,81.18449670777824,51.14099177112624,50.62272871914493,1.3831724551298974,25.43066560641006,58.85639042777525,maize
51.101344681749154,23.333217816629844,6.839586962619502,97.25497722253888,49.274130526927834,64.03229178251102,1.1705860853033794,23.071125369054506,52.68220511111762,cabbage
54.13505334973923,22.418430785368923,6.255600981774959,79.68472230647357,60.821973305993055,59.699778882168246,1.1018156054426083,21.847825553819398,54.195192557966394,cabbage
